Iteration	dist1	dist2	dist3	time1	time2	time3	kmeans	dist4	kmeans_time	time4
2	0.37268	0.37266	0.37263	4.451	5.426	3.691	0.3835	0.3727	0.358	6.643
3	0.22363	0.22356	0.22356	7.529	8.606	8.083	0.27788	0.22367	0.371	8.422
4	0.15995	0.1598	0.15985	10.493	11.002	9.331	0.18291	0.15978	0.373	15.022
5	0.12365	0.12346	0.12351	10.567	14.789	12.867	0.14829	0.13117	0.384	14.951
6	0.10158	0.10133	0.1016	14.619	14.406	14.393	0.09157	0.0773	0.392	27.442
7	0.06376	0.06368	0.0857	19.024	20.411	25.682	0.07787	0.08827	0.399	21.822
8	0.05424	0.05413	0.07449	24.102	23.818	28.233	0.06569	0.05408	0.404	38.582
9	0.04746	0.04774	0.04779	27.364	26.506	62.109	0.0629	0.04708	0.414	40.732
10	0.04246	0.04242	0.04258	39.642	37.104	53.343	0.0503	0.03942	0.427	51.968
11	0.03852	0.03847	0.03868	35.031	32.556	53.742	0.04992	0.03626	0.433	40.036
12	0.03536	0.03533	0.03579	45.518	41.145	61.518	0.04129	0.03464	0.437	49.521
13	0.03254	0.03292	0.03322	43.051	30.862	58.857	0.04031	0.03008	0.449	77.611
14	0.03079	0.03089	0.03091	35.089	47.743	99.586	0.03732	0.03121	0.454	58.335
15	0.02922	0.02878	0.02925	42.854	53.038	72.235	0.03668	0.03035	0.469	72.057
16	0.02695	0.02694	0.02778	66.769	52.978	69.399	0.03608	0.02405	0.478	66.445
17	0.02327	0.02558	0.02617	53.209	66.408	108.257	0.03435	0.02529	0.486	86.611
18	0.02466	0.02437	0.02507	79.873	66.663	90.046	0.03226	0.02353	0.493	95.878
19	0.02371	0.02365	0.02401	49.537	68.433	110.426	0.03113	0.02273	0.506	90.833
20	0.02224	0.02234	0.02279	85.485	46.853	136.167	0.025	0.02185	0.529	93.391
